Month Name,Agency,Description,Borough,# of Incidents,Response Times
2019 / 05,FDNY,Average response time to non-structural fires,Manhattan,121,380.45
2019 / 05,FDNY,Average response time to non-structural fires,Queens,169,377.92
2019 / 05,FDNY,Average response time to non-structural fires,Staten Island,45,363.67
2019 / 05,FDNY,Average response time to non-fire emergencies,Bronx,6244,626.5
2019 / 05,FDNY,Average response time to non-fire emergencies,Brooklyn,8509,495.94
2019 / 05,FDNY,Average response time to non-fire emergencies,Manhattan,6844,559.12
2019 / 05,FDNY,Average response time to non-fire emergencies,Queens,5751,546.86
2019 / 05,FDNY,Average response time to non-fire emergencies,Staten Island,1418,501.89
2019 / 05,FDNY,Average response time to non-fire emergencies,Unspecified,13,807.62
2019 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,419,495.07
2019 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,574,476.53
2019 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,438,465.56
2019 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,466,503.76
2019 / 05,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,114,422.38
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10754,617.79
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12312,567.38
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,11376,571.36
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8672,592.83
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1875,525.99
2019 / 05,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,16,902.19
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,26582,917.02
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,30477,768.31
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,26326,799.73
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,21658,695.57
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4508,619.66
2019 / 05,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,168,1138.4
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2760,525.26
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4186,434.28
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3149,513.6
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2987,478.05
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,696,432.51
2019 / 05,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,6,921.67
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11660,595.06
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13422,516.61
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,12533,549.68
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9525,532.41
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2044,476.28
2019 / 05,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,22,884.36
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4908,46.11
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7582,52.02
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7248,57.13
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,5037,42.19
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1147,56.93
2019 / 05,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,8,0
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,364,43.41
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,546,65.02
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,309,47.9
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,363,39.39
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,86,46.51
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,100
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,364,55.22
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,546,32.97
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,309,47.9
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,363,57.3
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,86,52.33
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,0
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,364,0.82
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,546,1.65
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,309,3.88
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,363,3.31
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,86,1.16
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,0
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,364,0.55
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,546,0.37
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,309,0.32
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,363,0
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,86,0
2019 / 05,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0
2019 / 04,FDNY,Average response time to structural fires,Bronx,248,310.79
2019 / 04,FDNY,Average response time to structural fires,Brooklyn,346,270.16
2019 / 04,FDNY,Average response time to structural fires,Manhattan,235,310.17
2019 / 04,FDNY,Average response time to structural fires,Queens,220,306.89
2019 / 04,FDNY,Average response time to structural fires,Staten Island,34,301.12
2019 / 04,FDNY,Average response time to non-structural fires,Bronx,101,417.42
2019 / 04,FDNY,Average response time to non-structural fires,Brooklyn,223,359.03
2019 / 04,FDNY,Average response time to non-structural fires,Manhattan,160,366.96
2019 / 04,FDNY,Average response time to non-structural fires,Queens,147,376.82
2019 / 04,FDNY,Average response time to non-structural fires,Staten Island,42,324.71
2019 / 04,FDNY,Average response time to non-structural fires,Unspecified,1,863
2019 / 04,FDNY,Average response time to non-fire emergencies,Bronx,5603,585.14
2019 / 04,FDNY,Average response time to non-fire emergencies,Brooklyn,7918,508.96
2019 / 04,FDNY,Average response time to non-fire emergencies,Manhattan,5902,533.4
2019 / 04,FDNY,Average response time to non-fire emergencies,Queens,5087,539.23
2019 / 04,FDNY,Average response time to non-fire emergencies,Staten Island,1358,478.9
2019 / 04,FDNY,Average response time to non-fire emergencies,Unspecified,8,1265
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,441,478.84
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,557,448.53
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,427,439.72
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,482,486.24
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,113,462.53
2019 / 04,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,1,394
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9762,588.8
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11170,559.31
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,9973,545.51
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,7970,569.91
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1859,522.55
2019 / 04,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,21,777.43
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,25034,816.3
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,28700,721.07
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,23944,726.99
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,19782,650.49
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4384,595.05
2019 / 04,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,140,1075.6
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2429,522.05
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,3887,428.2
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2652,477.53
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2580,476.31
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,683,437.28
2019 / 04,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,4,568
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10574,566.25
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12275,505.85
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,10926,519.32
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8686,517.49
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2005,473.18
2019 / 04,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,24,718.58
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4548,51.03
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7030,54.51
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6380,60.66
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4682,44.7
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1122,61.32
2019 / 04,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,11,27.27
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,349,42.69
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,569,62.92
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,395,44.05
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,367,40.87
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,76,44.74
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,349,53.58
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,569,34.8
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,395,52.66
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,367,55.59
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,76,55.26
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,349,4.01
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,569,1.58
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,395,3.04
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,367,3.54
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,76,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,100
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,349,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,569,0.7
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,395,0.25
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,367,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,76,0
2019 / 04,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0
2019 / 03,FDNY,Average response time to structural fires,Bronx,311,304.96
2019 / 03,FDNY,Average response time to structural fires,Brooklyn,373,266.69
2019 / 03,FDNY,Average response time to structural fires,Manhattan,250,298.3
2019 / 03,FDNY,Average response time to structural fires,Queens,203,311.82
2019 / 03,FDNY,Average response time to structural fires,Staten Island,41,301.12
2019 / 03,FDNY,Average response time to structural fires,Unspecified,1,542
2019 / 03,FDNY,Average response time to non-structural fires,Bronx,175,375.23
2019 / 03,FDNY,Average response time to non-structural fires,Brooklyn,410,325.9
2019 / 03,FDNY,Average response time to non-structural fires,Manhattan,242,438.87
2019 / 03,FDNY,Average response time to non-structural fires,Queens,397,644.47
2019 / 03,FDNY,Average response time to non-structural fires,Staten Island,22,337.77
2019 / 03,FDNY,Average response time to non-structural fires,Unspecified,2,750.5
2019 / 03,FDNY,Average response time to non-fire emergencies,Bronx,5876,583.96
2019 / 03,FDNY,Average response time to non-fire emergencies,Brooklyn,8043,483.87
2019 / 03,FDNY,Average response time to non-fire emergencies,Manhattan,6285,517.64
2019 / 03,FDNY,Average response time to non-fire emergencies,Queens,5461,544.08
2019 / 03,FDNY,Average response time to non-fire emergencies,Staten Island,1451,529.22
2019 / 03,FDNY,Average response time to non-fire emergencies,Unspecified,13,1079.23
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,415,476.84
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,499,475.17
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,411,442.92
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,493,497.26
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,123,434.91
2019 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,526.5
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10381,583.43
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11503,556.1
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10561,549.5
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8464,569.92
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1949,521.27
2019 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,25,697.5
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,25673,791.6
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,28923,703.33
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,24496,726.89
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20539,651.08
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4464,589.87
2019 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,153,1136.63
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2600,514.85
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,3949,433.18
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2944,495.07
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2821,487.06
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,719,433.63
2019 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,5,590.6
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11127,561.08
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12526,503.08
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11460,520.5
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9183,515.01
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2125,470.35
2019 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,29,652.57
2019 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4814,53.48
2019 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7054,55.86
2019 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6607,61.54
2019 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4916,44.92
